ID;ACTE;DESCRIPCIO;EMAIL_ACTE;WEB_ACTE;A_CARREC;LLOC;DATA_INI;DATA_FI;GRATUIT;PREU;HORA_INI;HORA_FI;IMATGE;DISTRICTE;TIPUS_ACTE;OBSERVACIONS;CICLE;DESCRIPCIOCICLE;CICLE_DATA_INI;CICLE_DATA_FI;DATA_PUB;X;Y;LONGITUD;LATITUD;URL
77643;Ca n Aurell Flea Market Mercat de les puces;Altres activitats;info@canaurell.cat                                                                                  ;http://www.canaurell.cat                                                                            ;;;2015-01-31 ;2015-12-26 ;F;;;;;4;;;;;;;2015-01-19;;;;;http://www.terrassa.cat/veureacte?numActe=77643
78937;Ruta guiada: Un tastet pel modernisme industrial terrassenc;Sortides/Excursions;turisme@terrassa.cat                                                                                ;http://www.visitaterrassa.cat                                                                       ;;Oficina de Turisme;2015-03-21 10:15:00;2015-12-12 13:30:00;F;12,46 euros (adults) 10,04 euros (nens de 7 a 16 anys i persones amb discapacitat acreditada) Gratuït: menors de 7 anys                                                                                                                                        ;01/01/1900 10:15:00;01/01/1900 13:30:00;;4;;Inclou: visita guiada, les entrades a la Masia Freixa, la Casa Museu Alegre de Sagrera i el mNACTEC Cal fer reserva prèvia. Informació  i inscripcions: Oficina de Turisme de l Ajuntament de Terrassa (Parc de Sant Jordi - pl. Josep Freixa i Argemí, 11). Tel. 937 397 019;;;;;2015-03-20;417094,0821;4601952,252;2,004585047079;41.5631009424556;http://www.terrassa.cat/veureacte?numActe=78937
79179;Curs de formació en litigació al torn d ofici;Cursos;;;;Col.legi Oficial d Advocats;2014-07-16 19:30:00;2015-09-01 21:30:00;F;;01/01/1900 19:30:00;01/01/1900 21:30:00;;1;;Places limitades: escola@icater.org;;;;;2014-07-08;417380,5938;4602323;2,0079696399416;41.5664695777177;http://www.terrassa.cat/veureacte?numActe=79179
79306;Curs de suport al cuidador;Cursos;;;;Centre de Dia de Salut Mental;2014-10-01 ;2015-06-30 ;F;Socis: 0 euros No socis: 8 euros mensuals                                                                                                                                                                                                                      ;;;;4;;Inscripcions: 937 809 329, asfammt@gmail.com;;;;;2014-07-18;417306,0959;4602122,1916;2,0071039418306;41.5646533884986;http://www.terrassa.cat/veureacte?numActe=79306
79630;Programa d Educació per a la Sostenibilitat de Terrassa 2014/2015.;Sortides/Excursions;;http://www.terrassa.cat/mediambient                                                                 ;;DIFERENTS ESPAIS DE LA CIUTAT;2014-09-01 ;2015-06-30 ;F;;;;;0;;Progama amb 62 acitivitas proposades. Inclouen 39 taller a l aula, 8 visites a instla.lacions i equipaments ambientals, 11 itineraris de natura. Inscripcions per centres escolars fins el 19 de setembre  i de gener a juny 2015 per la ciutadania. ;;;;;2014-09-10;;;;;http://www.terrassa.cat/veureacte?numActe=79630
79682;L Elmer se n va de vacances.;Literatura i poesia;bd3@terrassa.cat                                                                                    ;http://www.terrassa.cat/bd3                                                                         ;;Biblioteca Districte 3 - BD3;2015-06-22 18:00:00;2015-06-22 18:30:00;F;;01/01/1900 18:00:00;01/01/1900 18:30:00;;3;;Vols saber quins són els llibres nous que ens han arribat a la biblioteca? Doncs ho pots fer un cop al mes de la mà de l Elmer, l elefant més divertit. T esperem a la Sala infantil!;PRESENTACIÓ DE NOVETATS INFANTILS                                                                                                                                                                       ;Amb diferents noms i de la mà de diversos personatges, les biblioteques de Terrassa presenten les novetats que van arribant a les sales infantils;2014-01-01;2014-12-31;2015-03-05;418412,8125;4601133,0625;2,0205096600361;41.5558590031147;http://www.terrassa.cat/veureacte?numActe=79682
79961;Taller de Rummy;Cursos;;http://ateneuterrassenc.terrassa.net/?diba_servei=taller-de-rummikub                                ;MARIA DEL CARME CANADELL;Ateneu Terrassenc;2014-10-01 17:30:00;2015-07-29 19:30:00;F;Socis gratuit.  No socis 2 euros.                                                                                                                                                                                                                              ;01/01/1900 17:30:00;01/01/1900 19:30:00;;1;;;;;;;2014-10-02;417849,0633;4601593,3656;2,0136873487446;41.5599467699035;http://www.terrassa.cat/veureacte?numActe=79961
79964;Taller de joc de Bridge;Cursos;;http://ateneuterrassenc.terrassa.net                                                                ;JOSEP NOGUERA;Ateneu Terrassenc;2014-10-03 17:30:00;2015-07-30 20:00:00;F;Socis gratuit. No socis 2 euros/sessió.                                                                                                                                                                                                                        ;01/01/1900 17:30:00;01/01/1900 20:00:00;;1;;;;;;;2014-10-02;417849,0633;4601593,3656;2,0136873487446;41.5599467699035;http://www.terrassa.cat/veureacte?numActe=79964
79966;Taller setmanal de treball en equip en llengua anglesa;Ensenyament;;http://ateneuterrassenc.terrassa.net                                                                ;FRANCESCA ÒDENA;Ateneu Terrassenc;2014-10-06 18:00:00;2015-07-30 ;F;Socis gratuit. No socis 2 euros/sessió.                                                                                                                                                                                                                        ;01/01/1900 18:00:00;;;1;;Nivell mitjà de llengua anglesa;;;;;2014-10-02;417849,0633;4601593,3656;2,0136873487446;41.5599467699035;http://www.terrassa.cat/veureacte?numActe=79966
80584;Exposició permanent de pintura: Collecció Fundació Cultural Caixa Terrassa;Exposicions;;;FUNDACIÓ CULTURAL CAIXA TERRASSA;Centre Cultural Terrassa;2015-01-01 ;2015-12-31 ;T;;;;;1;;;;;;;2015-03-05;417279,125;4602301,0625;2,0067558628217;41.5662615099901;http://www.terrassa.cat/veureacte?numActe=80584
