ID;ACTE;DESCRIPCIO;EMAIL_ACTE;WEB_ACTE;A_CARREC;LLOC;DATA_INI;DATA_FI;GRATUIT;PREU;HORA_INI;HORA_FI;IMATGE;DISTRICTE;TIPUS_ACTE;OBSERVACIONS;CICLE;DESCRIPCIOCICLE;CICLE_DATA_INI;CICLE_DATA_FI;DATA_PUB;X;Y;LONGITUD;LATITUD;URL
77643;Ca n Aurell Flea Market Mercat de les puces;Altres activitats;info@canaurell.cat                                                                                  ;http://www.canaurell.cat                                                                            ;;;2015-01-31 ;2015-12-26 ;F;;;;;4;;;;;;;2015-01-19;;;;;http://www.terrassa.cat/veureacte?numActe=77643
78937;Ruta guiada: Un tastet pel modernisme industrial terrassenc;Sortides/Excursions;turisme@terrassa.cat                                                                                ;http://www.visitaterrassa.cat                                                                       ;;Oficina de Turisme;2015-03-21 10:15:00;2015-12-12 13:30:00;F;12,46 euros (adults) 10,04 euros (nens de 7 a 16 anys i persones amb discapacitat acreditada) Gratuït: menors de 7 anys                                                                                                                                        ;01/01/1900 10:15:00;01/01/1900 13:30:00;;4;;Inclou: visita guiada, les entrades a la Masia Freixa, la Casa Museu Alegre de Sagrera i el mNACTEC Cal fer reserva prèvia. Informació  i inscripcions: Oficina de Turisme de l Ajuntament de Terrassa (Parc de Sant Jordi - pl. Josep Freixa i Argemí, 11). Tel. 937 397 019;;;;;2015-03-20;417094,0821;4601952,252;2,004585047079;41.5631009424556;http://www.terrassa.cat/veureacte?numActe=78937
79179;Curs de formació en litigació al torn d ofici;Cursos;;;;Col.legi Oficial d Advocats;2014-07-16 19:30:00;2015-09-01 21:30:00;F;;01/01/1900 19:30:00;01/01/1900 21:30:00;;1;;Places limitades: escola@icater.org;;;;;2014-07-08;417380,5938;4602323;2,0079696399416;41.5664695777177;http://www.terrassa.cat/veureacte?numActe=79179
79961;Taller de Rummy;Cursos;;http://ateneuterrassenc.terrassa.net/?diba_servei=taller-de-rummikub                                ;MARIA DEL CARME CANADELL;Ateneu Terrassenc;2014-10-01 17:30:00;2015-07-29 19:30:00;F;Socis gratuit.  No socis 2 euros.                                                                                                                                                                                                                              ;01/01/1900 17:30:00;01/01/1900 19:30:00;;1;;;;;;;2014-10-02;417849,0633;4601593,3656;2,0136873487446;41.5599467699035;http://www.terrassa.cat/veureacte?numActe=79961
79964;Taller de joc de Bridge;Cursos;;http://ateneuterrassenc.terrassa.net                                                                ;JOSEP NOGUERA;Ateneu Terrassenc;2014-10-03 17:30:00;2015-07-30 20:00:00;F;Socis gratuit. No socis 2 euros/sessió.                                                                                                                                                                                                                        ;01/01/1900 17:30:00;01/01/1900 20:00:00;;1;;;;;;;2014-10-02;417849,0633;4601593,3656;2,0136873487446;41.5599467699035;http://www.terrassa.cat/veureacte?numActe=79964
79966;Taller setmanal de treball en equip en llengua anglesa;Ensenyament;;http://ateneuterrassenc.terrassa.net                                                                ;FRANCESCA ÒDENA;Ateneu Terrassenc;2014-10-06 18:00:00;2015-07-30 ;F;Socis gratuit. No socis 2 euros/sessió.                                                                                                                                                                                                                        ;01/01/1900 18:00:00;;;1;;Nivell mitjà de llengua anglesa;;;;;2014-10-02;417849,0633;4601593,3656;2,0136873487446;41.5599467699035;http://www.terrassa.cat/veureacte?numActe=79966
80584;Exposició permanent de pintura: Collecció Fundació Cultural Caixa Terrassa;Exposicions;;;FUNDACIÓ CULTURAL CAIXA TERRASSA;Centre Cultural Terrassa;2015-01-01 ;2015-12-31 ;T;;;;;1;;;;;;;2015-03-05;417279,125;4602301,0625;2,0067558628217;41.5662615099901;http://www.terrassa.cat/veureacte?numActe=80584
80913;Taller familiar:  Fes la teva felicitació de Nadal ;Literatura i poesia;bd3@terrassa.cat                                                                                    ;;;Biblioteca Districte 3 - BD3;2015-12-10 17:30:00;2015-12-10 19:00:00;F;;01/01/1900 17:30:00;01/01/1900 19:00:00;;3;;Taller adreçat a infants de 6 a 12 anys. Places limitades. Cal inscripció prèvia a la biblioteca.;;;;;2015-03-05;418412,8125;4601133,0625;2,0205096600361;41.5558590031147;http://www.terrassa.cat/veureacte?numActe=80913
81064;Exposició:  L Arqueologia de la mort a Terrassa ;Exposicions;bd4@terrasa.cat                                                                                     ;http://www.terrassa.cat/agenda-cultural                                                             ;;Biblioteca Districte 4 - BD4;2015-10-13 ;2015-10-31 ;T;;;;;4;;Produïda pel Museu de Terrassa i patrocinada per la Funerària de Terrassa;;;;;2015-03-05;416598,3321;4601276,4798;1,998734287762;41.5569633541812;http://www.terrassa.cat/veureacte?numActe=81064
81117;Inauguració exposició:  Personnel I ;Exposicions;;;TERESA PUIG;Centre de Documentació i Museu Tèxtil - CDMT;2015-12-14 12:30:00;2015-12-14 ;F;;01/01/1900 12:30:00;;;1;;;;;;;2015-02-06;418355,875;4602149,25;2,0196887629231;41.5650050279025;http://www.terrassa.cat/veureacte?numActe=81117
